symbol,level,horizon,date,entry,fwd_pct,bars_avail,outcome,resume,episode_id,touch_before_resume
AAPL,0.618,5,2017-09-12,37.43526840209961,-1.324164810452122,5,fail,False,AAPL_672,True
AAPL,0.618,10,2017-09-12,37.43526840209961,-4.79921854038613,10,fail,False,AAPL_672,True
AAPL,0.786,5,2017-09-20,36.32054138183594,-1.179009563068234,5,fail,False,AAPL_672,True
AAPL,0.786,10,2017-09-20,36.32054138183594,-1.6595156162891866,10,fail,False,AAPL_672,True
AAPL,0.236,5,2017-10-24,36.56023788452149,7.600265315894195,5,resume,True,AAPL_703,True
AAPL,0.236,10,2017-10-24,36.56023788452149,11.27306658658911,10,resume,True,AAPL_703,True
AAPL,0.382,5,2017-10-24,36.56023788452149,7.600265315894195,5,resume,True,AAPL_703,True
AAPL,0.382,10,2017-10-24,36.56023788452149,11.27306658658911,10,resume,True,AAPL_703,True
AAPL,0.236,5,2017-11-15,39.48967742919922,3.477594918538296,5,resume,True,AAPL_719,True
AAPL,0.236,10,2017-11-15,39.48967742919922,1.6382659861657434,10,resume,True,AAPL_719,True
AAPL,0.382,5,2017-11-29,39.58308410644531,-0.27727161111082976,5,resume,True,AAPL_719,True
AAPL,0.382,10,2017-11-29,39.58308410644531,1.6462345376095255,10,resume,True,AAPL_719,True
AAPL,0.236,5,2017-12-01,39.94977188110352,-0.9821636341639683,5,fail,False,AAPL_730,True
AAPL,0.236,10,2017-12-01,39.94977188110352,1.7071034843042066,10,fail,False,AAPL_730,True
AAPL,0.382,5,2017-12-01,39.94977188110352,-0.9821636341639683,5,fail,False,AAPL_730,True
AAPL,0.382,10,2017-12-01,39.94977188110352,1.7071034843042066,10,fail,False,AAPL_730,True
AAPL,0.5,5,2017-12-01,39.94977188110352,-0.9821636341639683,5,fail,False,AAPL_730,True
AAPL,0.5,10,2017-12-01,39.94977188110352,1.7071034843042066,10,fail,False,AAPL_730,True
AAPL,0.618,5,2017-12-01,39.94977188110352,-0.9821636341639683,5,fail,False,AAPL_730,True
AAPL,0.618,10,2017-12-01,39.94977188110352,1.7071034843042066,10,fail,False,AAPL_730,True
AAPL,0.786,5,2017-12-01,39.94977188110352,-0.9821636341639683,5,fail,False,AAPL_730,True
AAPL,0.786,10,2017-12-01,39.94977188110352,1.7071034843042066,10,fail,False,AAPL_730,True
AAPL,0.236,5,2017-12-26,39.83767318725586,0.9732067936602196,5,resume,True,AAPL_746,True
AAPL,0.236,10,2017-12-26,39.83767318725586,2.1809200947563223,10,resume,True,AAPL_746,True
AAPL,0.382,5,2017-12-26,39.83767318725586,0.9732067936602196,5,resume,True,AAPL_746,True
AAPL,0.382,10,2017-12-26,39.83767318725586,2.1809200947563223,10,resume,True,AAPL_746,True
AAPL,0.5,5,2017-12-26,39.83767318725586,0.9732067936602196,5,resume,True,AAPL_746,True
AAPL,0.5,10,2017-12-26,39.83767318725586,2.1809200947563223,10,resume,True,AAPL_746,True
AAPL,0.618,5,2017-12-26,39.83767318725586,0.9732067936602196,5,resume,True,AAPL_746,True
AAPL,0.618,10,2017-12-26,39.83767318725586,2.1809200947563223,10,resume,True,AAPL_746,True
AAPL,0.236,5,2018-01-25,39.96378326416016,-1.9461036976342716,5,fail,False,AAPL_766,True
AAPL,0.236,10,2018-01-25,39.96378326416016,-9.327321394855781,10,fail,False,AAPL_766,True
AAPL,0.382,5,2018-01-25,39.96378326416016,-1.9461036976342716,5,fail,False,AAPL_766,True
AAPL,0.382,10,2018-01-25,39.96378326416016,-9.327321394855781,10,fail,False,AAPL_766,True
AAPL,0.5,5,2018-01-25,39.96378326416016,-1.9461036976342716,5,fail,False,AAPL_766,True
