label,leg,n,mean_bps,ann_ret_arith_pct,ann_ret_geom_pct,ann_vol_pct,sharpe,t,p,win_rate,start,end,symbol,period
CSCO|full,intraday,9206,3.577646817260021,9.015669979495252,3.6042331522010316,33.130385187853676,0.2721269290524456,1.6447759064033727,0.10001603254175073,0.5036932435368238,1990-02-20,2026-09-10,CSCO,full
CSCO|full,total,9206,11.360384184918045,28.628168145993477,23.402767474615,39.0093528509658,0.7338795969101727,4.435678171954232,9.178288191469264e-06,0.5157505974364545,1990-02-20,2026-09-10,CSCO,full
CVX|full,overnight,9239,4.220612049779893,10.63594236544533,10.195741089150879,13.576710527111027,0.7833961211890509,4.743442386814149,2.1011672095561096e-06,0.5516830825846953,1990-01-03,2026-09-10,CVX,full
CVX|full,intraday,9239,1.2739988519109433,3.210477106815577,0.8987057892797726,21.517658384412915,0.14920197400016358,0.9034139288237902,0.3663062502293619,0.498322329256413,1990-01-03,2026-09-10,CVX,full
CVX|full,total,9239,5.555560717823312,14.000013008914747,11.186076593858846,26.042313564791357,0.5375871454002634,3.255075667502132,0.0011336215829873542,0.5120684056716095,1990-01-03,2026-09-10,CVX,full
DIA|full,overnight,7204,3.0315774294050293,7.639575122100674,7.327333916160461,10.622771096200664,0.7191697018523765,3.845191417144703,0.00012045836858565195,0.5505274847307051,1998-01-21,2026-09-10,DIA,full
DIA|full,intraday,7204,1.0763521562890552,2.712407433848419,1.6295462602913233,14.807832506892774,0.1831738326717191,0.979377256050441,0.3273936106893718,0.5267906718489728,1998-01-21,2026-09-10,DIA,full
DIA|full,total,7204,4.127513754417061,10.401334661130994,9.07628247226161,18.505644761111768,0.5620628081540086,3.0051865091692633,0.002654180422905661,0.5378956135480288,1998-01-21,2026-09-10,DIA,full
DIS|full,overnight,9239,1.0024166214240087,2.526089885988502,1.3348136851459484,15.468983382653967,0.16330031673711118,0.9887790138854411,0.32277127416407936,0.5139084316484468,1990-01-03,2026-09-10,DIS,full
DIS|full,intraday,9239,3.6204448731474352,9.123521080331537,6.37317062879905,24.300792741217546,0.3754412943433228,2.273286912175964,0.0230088957145953,0.49009633077172854,1990-01-03,2026-09-10,DIS,full
DIS|full,total,9239,4.735809566153043,11.934240106705667,7.793054267675884,29.79727730403875,0.4005144491872112,2.4251041885713795,0.015303993930910309,0.4955081718800736,1990-01-03,2026-09-10,DIS,full
GOOGL|full,overnight,5549,9.090020459536262,22.90685155803138,23.322691840381513,19.824193636666628,1.1554997886856342,5.422217850501172,5.886408160904466e-08,0.5611821949900883,2004-08-20,2026-09-10,GOOGL,full
GOOGL|full,intraday,5549,1.6387920439068049,4.129755950645149,1.2779202061411494,23.898007166872777,0.17280754507303783,0.8109046533553562,0.417420427791235,0.5072986123625879,2004-08-20,2026-09-10,GOOGL,full
