symbol,period,n_days,round_trips_per_yr,round_trip_cost_bps,gross_mean_bps,net_mean_bps,net_ann_ret_geom_pct,net_sharpe,net_t,net_p
DIA,last3y,753,252,8,3.6927160906803858,-4.307283909319616,-10.614119083289976,-1.2716618713171641,-2.1982084227178045,0.027934256739511554
DIA,last3y,753,252,10,3.6927160906803858,-6.307283909319618,-15.00992221206615,-1.8621322921620436,-3.2189019590605428,0.0012868247433241997
DIA,last3y,753,252,20,3.6927160906803858,-16.307283909319622,-33.9612341424509,-4.814484396386438,-8.32236964077423,0.0
DIA,pre2015,4265,252,0,2.8372845546240515,2.8372845546240515,6.854155622842857,0.7021724730695628,2.8887040305352487,0.003868329825233996
DIA,pre2015,4265,252,1,2.8372845546240515,1.8372845546240524,4.195581167886407,0.45469201788391705,1.8705812533089057,0.06140314503066335
DIA,pre2015,4265,252,2,2.8372845546240515,0.8372845546240528,1.602897139459143,0.20721156269827135,0.8524584760825629,0.39395967638237983
DIA,pre2015,4265,252,3,2.8372845546240515,-0.16271544537594923,-0.925523153206096,-0.04026889248737501,-0.16566430114378283,0.8684211413471565
DIA,pre2015,4265,252,5,2.8372845546240515,-2.1627154453759516,-5.795880260404524,-0.5352298028586673,-2.2019098555964725,0.02767167668112247
DIA,pre2015,4265,252,8,2.8372845546240515,-5.162715445375949,-12.65785677206087,-1.2776711684156044,-5.256278187275501,1.4699988115651763e-07
DIA,pre2015,4265,252,10,2.8372845546240515,-7.1627154453759525,-16.953564022499574,-1.7726320787868968,-7.292523741728192,3.042011087472929e-13
DIA,pre2015,4265,252,20,2.8372845546240515,-17.16271544537595,-35.473075171703215,-4.247436630643355,-17.473751513991626,0.0
MDY,full,7889,252,0,5.447137444521147,5.447137444521147,13.892296785864596,1.1502867200799407,6.436011531841936,1.2265366500230357e-10
MDY,full,7889,252,1,5.447137444521147,4.447137444521147,11.059296839640048,0.9391140203279039,5.254471393119088,1.484502165638446e-07
MDY,full,7889,252,2,5.447137444521147,3.4471374445211493,8.296493290960377,0.7279413205758678,4.072931254396242,4.642513061625664e-05
MDY,full,7889,252,3,5.447137444521147,2.447137444521145,5.602153564051183,0.5167686208238302,2.89139111567339,0.003835404712708934
MDY,full,7889,252,5,5.447137444521147,0.44713744452114346,0.41214721078836414,0.09442322131975639,0.5283108382276916,0.5972836103560104
MDY,full,7889,252,8,5.447137444521147,-2.5528625554788538,-6.900303864008622,-0.5390948779363532,-3.0163095779408495,0.002558718750756528
MDY,full,7889,252,10,5.447137444521147,-4.552862555478858,-11.478086260878168,-0.9614402774404274,-5.37938985538655,7.473870411445205e-08
MDY,full,7889,252,20,5.447137444521147,-14.552862555478859,-31.214376752794003,-3.073167274960795,-17.19479124261503,0.0
MDY,2021_2026,1428,252,0,2.9253897197028196,2.9253897197028196,6.964155875794564,0.6526108399388327,1.553524535038136,0.12029787242047885
MDY,2021_2026,1428,252,1,2.9253897197028196,1.925389719702821,4.302842902554753,0.42952574616707767,1.0224757914895493,0.3065557647389334
MDY,2021_2026,1428,252,2,2.9253897197028196,0.9253897197028216,1.7074882665315458,0.20644065239532242,0.4914270479409627,0.623124437723586
MDY,2021_2026,1428,252,3,2.9253897197028196,-0.0746102802971835,-0.8235364005102883,-0.016644441376434137,-0.039621695607627204,0.9683947304250371
MDY,2021_2026,1428,252,5,2.9253897197028196,-2.074610280297185,-5.698910061326796,-0.4628146289199453,-1.1017191827048025,0.27058377469474015
MDY,2021_2026,1428,252,8,2.9253897197028196,-5.074610280297182,-12.5679542712435,-1.1320699102352108,-2.6948654133505623,0.00704170674707294
MDY,2021_2026,1428,252,10,2.9253897197028196,-7.074610280297185,-16.86808585023303,-1.5782400977787225,-3.7569629004477383,0.00017198798223705403
MDY,2021_2026,1428,252,20,2.9253897197028196,-17.07461028029719,-35.406669373005045,-3.8090910354962775,-9.06745033593361,0.0
MDY,last3y,753,252,0,4.568477005076866,4.568477005076866,11.484164030382438,1.0192559808399357,1.761896878819789,0.07808672206892453
MDY,last3y,753,252,1,4.568477005076866,3.568477005076867,8.710841083257767,0.7961496853048473,1.3762329306677412,0.16874952986524994
MDY,last3y,753,252,2,4.568477005076866,2.5684770050768675,6.006241398257518,0.5730433897697588,0.9905689825156931,0.32189608967662564
MDY,last3y,753,252,3,4.568477005076866,1.5684770050768644,3.368668622286312,0.3499370942346695,0.6049050343636437,0.5452420979107369
MDY,last3y,753,252,5,4.568477005076866,-0.43152299492313834,-1.7119740908843943,-0.09627549683550822,-0.1664228619404538,0.8678241835986009
MDY,last3y,753,252,8,4.568477005076866,-3.431522994923136,-8.870300853881332,-0.7655943834407734,-1.3234147063965975,0.1856975037802444
MDY,last3y,753,252,10,4.568477005076866,-5.431522994923139,-13.351574361100397,-1.2118069745109512,-2.0947426027006952,0.036193879881118995
MDY,last3y,753,252,20,4.568477005076866,-15.431522994923139,-32.67155367775597,-3.442869929861837,-5.951382084221177,2.6588753421208366e-09
MDY,pre2015,4950,252,0,6.922974684649204,6.922974684649204,18.26062313032827,1.5107561670101413,6.695711068308539,2.1462387422843676e-11
MDY,pre2015,4950,252,1,6.922974684649204,5.922974684649206,15.319403224427667,1.2925326090994003,5.728538519901653,1.0129955319015949e-08
MDY,pre2015,4950,252,2,6.922974684649204,4.922974684649207,12.451050315894713,1.0743090511886593,4.761365971494766,1.922869834913854e-06
MDY,pre2015,4950,252,3,6.922974684649204,3.9229746846492035,9.653766182319082,0.8560854932779174,3.7941934230878758,0.00014812417452070292
MDY,pre2015,4950,252,5,6.922974684649204,1.9229746846492017,4.265431286305687,0.41963837745643445,1.859848326274099,0.06290698790672367
